lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_lsm,val_ExpRate
1.0,213142,,,,,,,
,214642,0.25460779666900635,0.033480118960142136,142,,,,
1.0,214643,,,,,,,
,216143,0.25604215264320374,0.03094957210123539,143,,,,
1.0,216144,,,,,,,
,217644,0.256327748298645,0.031462524086236954,144,,,,
1.0,217645,,,,,,,
,219145,0.2569435238838196,0.03255964443087578,145,,,,
1.0,219146,,,,,,,
,220646,0.25775346159935,0.032653748989105225,146,,,,
1.0,220647,,,,,,,
,222147,0.2525707483291626,0.03248700127005577,147,,,,
1.0,222148,,,,,,,
,223648,0.25426846742630005,0.03289471194148064,148,,,,
1.0,223649,,,,,,,
,225149,,,149,0.6071609258651733,0.05299818888306618,0.7225624322891235,0.36612576246261597
,225149,0.25818806886672974,0.03183181211352348,149,,,,
1.0,225150,,,,,,,
,226650,0.25439417362213135,0.0314156636595726,150,,,,
1.0,226651,,,,,,,
,228151,0.25348421931266785,0.032078713178634644,151,,,,
1.0,228152,,,,,,,
,229652,0.25690820813179016,0.031677938997745514,152,,,,
1.0,229653,,,,,,,
,231153,0.25639086961746216,0.03178998827934265,153,,,,
1.0,231154,,,,,,,
,232654,0.25755661725997925,0.0327579602599144,154,,,,
1.0,232655,,,,,,,
,234155,0.2577805519104004,0.03194834291934967,155,,,,
1.0,234156,,,,,,,
,235656,0.24829699099063873,0.03011506237089634,156,,,,
1.0,235657,,,,,,,
,237157,0.2545821964740753,0.0289858877658844,157,,,,
1.0,237158,,,,,,,
,238658,0.24963395297527313,0.030385732650756836,158,,,,
1.0,238659,,,,,,,
,240159,,,159,0.5341266989707947,0.04437779635190964,0.7618683576583862,0.43103447556495667
,240159,0.252750039100647,0.031228087842464447,159,,,,
1.0,240160,,,,,,,
,241660,0.2581917345523834,0.03269166499376297,160,,,,
1.0,241661,,,,,,,
,243161,0.252673476934433,0.031622983515262604,161,,,,
1.0,243162,,,,,,,
,244662,0.26180362701416016,0.03147187829017639,162,,,,
1.0,244663,,,,,,,
,246163,0.25726696848869324,0.03235267847776413,163,,,,
1.0,246164,,,,,,,
,247664,0.25361961126327515,0.03145859017968178,164,,,,
1.0,247665,,,,,,,
,249165,0.2517137825489044,0.031850460916757584,165,,,,
1.0,249166,,,,,,,
,250666,0.24865543842315674,0.030790606513619423,166,,,,
1.0,250667,,,,,,,
,252167,0.2498016059398651,0.031883276998996735,167,,,,
1.0,252168,,,,,,,
,253668,0.25716230273246765,0.032366909086704254,168,,,,
1.0,253669,,,,,,,
,255169,,,169,0.4813213050365448,0.04420929774641991,0.7494545578956604,0.4452332556247711
,255169,0.25655996799468994,0.03151566907763481,169,,,,
1.0,255170,,,,,,,
,256670,0.2587454915046692,0.031102225184440613,170,,,,
1.0,256671,,,,,,,
,258171,0.25218290090560913,0.031605325639247894,171,,,,
1.0,258172,,,,,,,
,259672,0.25021737813949585,0.03317778930068016,172,,,,
1.0,259673,,,,,,,
,261173,0.2530173361301422,0.03152831271290779,173,,,,
1.0,261174,,,,,,,
,262674,0.25523120164871216,0.031003594398498535,174,,,,
1.0,262675,,,,,,,
,264175,0.2529386878013611,0.030867593362927437,175,,,,
1.0,264176,,,,,,,
,265676,0.24977506697177887,0.02820328250527382,176,,,,
1.0,265677,,,,,,,
,267177,0.2535979449748993,0.03192523494362831,177,,,,
1.0,267178,,,,,,,
,268678,0.25293630361557007,0.031639356166124344,178,,,,
1.0,268679,,,,,,,
,270179,,,179,0.5896044969558716,0.04924274981021881,0.7477047443389893,0.4087221026420593
,270179,0.24985124170780182,0.03114922158420086,179,,,,
1.0,270180,,,,,,,
,271680,0.2511536180973053,0.03165726736187935,180,,,,
1.0,271681,,,,,,,
,273181,0.2520718276500702,0.030335741117596626,181,,,,
1.0,273182,,,,,,,
,274682,0.2543947100639343,0.03207554668188095,182,,,,
1.0,274683,,,,,,,
,276183,0.24950329959392548,0.03156512975692749,183,,,,
1.0,276184,,,,,,,
,277684,0.2517339289188385,0.030384549871087074,184,,,,
1.0,277685,,,,,,,
,279185,0.24867434799671173,0.030247624963521957,185,,,,
1.0,279186,,,,,,,
,280686,0.2584672272205353,0.03332474082708359,186,,,,
1.0,280687,,,,,,,
,282187,0.2520991861820221,0.031150121241807938,187,,,,
1.0,282188,,,,,,,
,283688,0.2541797161102295,0.033240024000406265,188,,,,
1.0,283689,,,,,,,
,285189,,,189,0.4426387548446655,0.03632413595914841,0.7859808802604675,0.47058823704719543
,285189,0.25191840529441833,0.03155543655157089,189,,,,
1.0,285190,,,,,,,
,286690,0.2499426007270813,0.03051796182990074,190,,,,
1.0,286691,,,,,,,
,288191,0.2516334652900696,0.031200071796774864,191,,,,
1.0,288192,,,,,,,
,289692,0.253316193819046,0.03360305353999138,192,,,,
1.0,289693,,,,,,,
,291193,0.2553391754627228,0.03212689608335495,193,,,,
1.0,291194,,,,,,,
,292694,0.2554897665977478,0.032125428318977356,194,,,,
1.0,292695,,,,,,,
,294195,0.24916893243789673,0.030921125784516335,195,,,,
1.0,294196,,,,,,,
,295696,0.24601997435092926,0.03007359243929386,196,,,,
1.0,295697,,,,,,,
,297197,0.24813002347946167,0.02905126102268696,197,,,,
1.0,297198,,,,,,,
,298698,0.2548905909061432,0.032493218779563904,198,,,,
1.0,298699,,,,,,,
,300199,,,199,0.4635508060455322,0.033689629286527634,0.775197446346283,0.479716032743454
,300199,0.2494548261165619,0.03005426563322544,199,,,,
1.0,300200,,,,,,,
,301700,0.2503795623779297,0.029542509466409683,200,,,,
1.0,301701,,,,,,,
,303201,0.25005263090133667,0.030976995825767517,201,,,,
1.0,303202,,,,,,,
